run_id,algorithm,nodes,edges,source_node,target_node,time_sec,memory_peak_mb,energy_joules,cpu_energy_joules,path_found,path_length
46,Dijkstra,1000,5000,198,824,0.013998270034790039,0.2938957214355469,0.23012443827808077,0.07461843928665096,True,4
46,Bellman-Ford,1000,5000,198,824,0.04108381271362305,0.2997579574584961,0.5767015395894943,0.15212554067599757,True,4
46,A_Star,1000,5000,198,824,0.0070993900299072266,0.29362964630126953,0.11823838337335144,0.03905538463044319,True,4
47,Dijkstra,1000,5000,777,202,0.013040781021118164,0.3013286590576172,0.2202888366255528,0.08446483849096958,True,5
47,Bellman-Ford,1000,5000,777,202,0.03899645805358887,0.3000450134277344,0.6449488709904253,0.24164287105575202,True,5
47,A_Star,1000,5000,777,202,0.005083560943603516,0.29347705841064453,0.10035858089663088,0.033014582661911845,True,5
48,Dijkstra,1000,5000,465,229,0.00508880615234375,0.2937164306640625,0.10711571542533455,0.04145571604358372,True,4
48,Bellman-Ford,1000,5000,465,229,0.04398941993713379,0.3000450134277344,0.5973874338000843,0.1493734333693812,True,4
48,A_Star,1000,5000,465,229,0.002009868621826172,0.29405784606933594,0.04454369817081501,0.016798697618428955,True,4
49,Dijkstra,1000,5000,732,253,0.021009445190429688,0.3007469177246094,0.3083563186761669,0.08293131697668948,True,5
49,Bellman-Ford,1000,5000,732,253,0.03800606727600098,0.2961921691894531,0.5521280873490243,0.1531490866018205,True,5
49,A_Star,1000,5000,732,253,0.015996456146240234,0.29753589630126953,0.242683407464488,0.06933240647004409,True,5
0,Dijkstra,5000,25000,1757,4338,0.13400650024414062,1.3756790161132812,3.283089219138598,0.535112218011742,True,7
0,Bellman-Ford,5000,25000,1757,4338,0.2840113639831543,1.69073486328125,7.826899180071768,0.6041991821251471,True,7
0,A_Star,5000,25000,1757,4338,0.0839841365814209,1.1481781005859375,1.1561728872830386,0.2945178885484453,True,7
1,Dijkstra,5000,25000,334,1138,0.08609652519226074,1.2076148986816406,1.1779973644012247,0.3099353646108542,True,5
1,Bellman-Ford,5000,25000,334,1138,0.3100399971008301,1.6890029907226562,8.438964233247141,0.5679302322469144,True,5
1,A_Star,5000,25000,334,1138,0.009093046188354492,0.2939300537109375,0.14425562877021733,0.04938563048653306,True,5
2,Dijkstra,5000,25000,831,3834,0.06808328628540039,1.1745376586914062,0.9323534114773766,0.23618541206451216,True,7
2,Bellman-Ford,5000,25000,831,3834,0.28001880645751953,1.6878814697265625,8.0680908720647,0.6290728730787524,True,7
2,A_Star,5000,25000,831,3834,0.02103590965270996,0.29404163360595703,0.3320653554488143,0.09870735737198795,True,7
3,Dijkstra,5000,25000,57,2913,0.07494926452636719,1.1842269897460938,1.0094924798549831,0.2508534808957696,True,7
3,Bellman-Ford,5000,25000,57,2913,0.31006312370300293,1.7070980072021484,7.965535110918996,0.4190101093931166,True,7
3,A_Star,5000,25000,57,2913,0.019098997116088867,0.2936105728149414,0.2892531579639974,0.08453715679237873,True,7
4,Dijkstra,5000,25000,2170,1623,0.0819849967956543,1.201629638671875,1.15261745914402,0.3202484598900615,True,7
4,Bellman-Ford,5000,25000,2170,1623,0.29795050621032715,1.7086124420166016,7.760848380707373,0.4437663765514101,True,7
